Field,Label,Value
resource_2_id,Resource ID,a32a57a1-6451-418e-8e6a-1854c0ffb78c
resource_2_last_modified,Updated,2025-09-05T03:02:11.687962
resource_2_metadata_modified,Metadata Updated,2025-09-06T10:27:08.216988
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
resource_2_resource_type,Resource Type,api
resource_2_name,Resource Name,hotosm_per_education_facilities_polygons_shp.zip
resource_2_mimetype,MIME Type,
resource_2_size,Size,2.0M
resource_3_created,Created,2019-12-06T20:45:46.165830
resource_3_description,Description,"Geopackage, SQLite compatible"
resource_3_format,File Format,Geopackage
resource_3_download_url,Download URL,https://export.hotosm.org/downloads/29798e99-480e-436d-8a67-4e8c59f01540/hotosm_per_education_facilities_gpkg.zip
resource_3_id,Resource ID,cb6cada1-73f4-4693-9676-42b876f55601
resource_3_last_modified,Updated,2024-07-23T14:10:26
resource_3_metadata_modified,Metadata Updated,2025-08-26T16:29:49.393602
resource_3_microdata,Microdata,False
resource_3_dataset_id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
resource_3_resource_type,Resource Type,api
resource_3_name,Resource Name,hotosm_per_education_facilities_gpkg.zip
resource_3_mimetype,MIME Type,
resource_3_size,Size,4.6M
resource_4_created,Created,2019-12-06T20:45:46.165834
resource_4_description,Description,KML
resource_4_format,File Format,KML
resource_4_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/PER/education_facilities/points/hotosm_per_education_facilities_points_kml.zip
resource_4_id,Resource ID,dfa20c57-6f36-4a09-82ab-96b65f4fa09b
resource_4_last_modified,Updated,2025-09-05T03:02:11.688130
resource_4_metadata_modified,Metadata Updated,2025-09-06T10:27:08.217125
resource_4_microdata,Microdata,False
resource_4_dataset_id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
resource_4_resource_type,Resource Type,api
resource_4_name,Resource Name,hotosm_per_education_facilities_points_kml.zip
resource_4_mimetype,MIME Type,
resource_4_size,Size,2.5M
resource_5_created,Created,2019-12-06T20:45:46.165838
resource_5_description,Description,KML
resource_5_format,File Format,KML
resource_5_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/PER/education_facilities/polygons/hotosm_per_education_facilities_polygons_kml.zip
resource_5_id,Resource ID,d70448ee-66fc-4bfa-a3bd-b42eac6aa6fa
resource_5_last_modified,Updated,2025-09-05T03:02:11.688272
resource_5_metadata_modified,Metadata Updated,2025-09-06T10:27:08.217191
resource_5_microdata,Microdata,False
resource_5_dataset_id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
resource_5_resource_type,Resource Type,api
resource_5_name,Resource Name,hotosm_per_education_facilities_polygons_kml.zip
resource_5_mimetype,MIME Type,
resource_5_size,Size,1.3M
resource_6_created,Created,2019-12-06T20:45:46.165842
resource_6_description,Description,.IMG for Garmin GPS Devices (All OSM layers for area)
resource_6_format,File Format,Garmin IMG
resource_6_download_url,Download URL,https://export.hotosm.org/downloads/29798e99-480e-436d-8a67-4e8c59f01540/hotosm_per_gmapsupp_img.zip
resource_6_id,Resource ID,b101ffe3-c0d2-4ebe-a98b-72389a7174f6
resource_6_last_modified,Updated,2024-07-23T14:10:26
resource_6_metadata_modified,Metadata Updated,2025-08-26T16:29:49.393813
resource_6_microdata,Microdata,False
resource_6_dataset_id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
resource_6_resource_type,Resource Type,api
resource_6_name,Resource Name,hotosm_per_gmapsupp_img.zip
resource_6_mimetype,MIME Type,
resource_6_size,Size,83.3M
resource_7_created,Created,2024-01-23T08:59:46.284223
resource_7_description,Description,GeoJSON
resource_7_format,File Format,GeoJSON
resource_7_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/PER/education_facilities/points/hotosm_per_education_facilities_points_geojson.zip
resource_7_id,Resource ID,dec86a60-bd7d-4689-8b6a-411de6d6bb11
resource_7_last_modified,Updated,2025-09-05T03:02:11.688418
resource_7_metadata_modified,Metadata Updated,2025-09-06T10:27:08.217314
resource_7_microdata,Microdata,False
resource_7_dataset_id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
resource_7_resource_type,Resource Type,api
resource_7_name,Resource Name,hotosm_per_education_facilities_points_geojson.zip
resource_7_mimetype,MIME Type,
resource_7_size,Size,2.5M
resource_8_created,Created,2024-01-23T08:59:46.284230
resource_8_description,Description,GeoJSON
resource_8_format,File Format,GeoJSON
resource_8_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/PER/education_facilities/polygons/hotosm_per_education_facilities_polygons_geojson.zip
resource_8_id,Resource ID,1345872b-0c8c-4fac-b159-fe49c22e17cf
resource_8_last_modified,Updated,2025-09-05T03:02:11.688573
resource_8_metadata_modified,Metadata Updated,2025-09-06T10:27:08.217392
resource_8_microdata,Microdata,False
resource_8_dataset_id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
resource_8_resource_type,Resource Type,api
resource_8_name,Resource Name,hotosm_per_education_facilities_polygons_geojson.zip
resource_8_mimetype,MIME Type,
resource_8_size,Size,1.3M
resource_9_created,Created,2024-04-05T16:23:21.424514
resource_9_description,Description,GPKG
resource_9_format,File Format,Geopackage
resource_9_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/PER/education_facilities/points/hotosm_per_education_facilities_points_gpkg.zip
resource_9_id,Resource ID,73c78ca6-65dd-4bcd-b2cf-5b532427e259
resource_9_last_modified,Updated,2025-09-05T03:02:11.688743
resource_9_metadata_modified,Metadata Updated,2025-09-06T10:27:08.217458
resource_9_microdata,Microdata,False
resource_9_dataset_id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
resource_9_resource_type,Resource Type,api
resource_9_name,Resource Name,hotosm_per_education_facilities_points_gpkg.zip
resource_9_mimetype,MIME Type,
resource_9_size,Size,3.2M
resource_10_created,Created,2024-04-05T16:23:21.424520
resource_10_description,Description,GPKG
resource_10_format,File Format,Geopackage
resource_10_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/PER/education_facilities/polygons/hotosm_per_education_facilities_polygons_gpkg.zip
resource_10_id,Resource ID,93bd4b80-0751-4a2b-87b3-600a381bb285
resource_10_last_modified,Updated,2025-09-05T03:02:12
resource_10_metadata_modified,Metadata Updated,2025-09-06T10:27:08.217523
resource_10_microdata,Microdata,False
resource_10_dataset_id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
resource_10_resource_type,Resource Type,api
resource_10_name,Resource Name,hotosm_per_education_facilities_polygons_gpkg.zip
resource_10_mimetype,MIME Type,
resource_10_size,Size,2.0M
